# Server version 0.08 running on Jonathan-HP:8123
# Game ID: 1
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Wed Apr 02 15:03:59 EDT 2014
# Player 1: Player-0, 'Human', running on Jonathan-HP
# Player 2: Player-1, 'random', running on Jonathan-HP
# Player 3: Player-2, 'random', running on Jonathan-HP
# Player 4: Player-3, 'random', running on Jonathan-HP
START Player-0 Human
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,2)
1 (14,2) (13,3)
2 (1,12) (0,11)
3 (12,15) (11,14)
0 (3,1) (3,3)
0 null null
1 (13,2) (13,4)
1 null null
2 (2,13) (2,12)
3 (12,14) (10,14)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 null null
1 (14,0) (12,2)
1 null null
2 (0,11) (1,10)
3 (11,14) (12,14)
0 (0,2) (2,2)
0 (2,2) (4,2)
0 (4,2) (4,4)
0 null null
1 (15,2) (15,4)
1 null null
2 (1,10) (2,11)
3 (15,12) (15,11)
0 (4,4) (4,5)
1 (13,3) (12,3)
2 (2,14) (2,13)
3 (14,13) (13,12)
0 (2,0) (2,2)
0 (2,2) (4,2)
0 (4,2) (4,4)
0 (4,4) (4,6)
0 null null
1 (15,3) (15,2)
2 (3,14) (3,13)
3 (13,14) (12,13)
0 (0,0) (2,0)
0 (2,0) (2,2)
0 (2,2) (4,2)
0 (4,2) (4,4)
0 null null
1 (13,1) (14,0)
2 (0,13) (1,12)
3 (10,14) (10,15)
0 (4,5) (4,7)
0 null null
1 (12,2) (11,3)
2 (3,13) (4,13)
3 (13,12) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 null null
0 (4,4) (4,5)
1 (14,1) (14,2)
2 (2,12) (2,14)
2 (2,14) (2,12)
2 (2,12) (2,10)
2 null null
3 (14,15) (13,14)
0 (3,3) (3,4)
1 (14,3) (13,2)
2 (0,14) (2,14)
2 (2,14) (2,12)
2 (2,12) (0,14)
2 (0,14) (2,14)
2 (2,14) (0,14)
2 null null
3 (12,13) (11,13)
0 (1,1) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,5)
0 (3,5) (5,5)
0 null null
1 (14,0) (14,1)
2 (2,11) (2,9)
2 (2,9) (2,11)
2 (2,11) (2,9)
2 null null
3 (13,13) (14,13)
0 (1,3) (2,3)
1 (12,0) (11,1)
2 (2,10) (1,9)
3 (15,11) (15,12)
0 (0,1) (0,0)
1 (13,0) (11,2)
1 (11,2) (11,0)
1 null null
2 (1,14) (2,14)
3 (13,14) (14,15)
0 (0,0) (2,0)
0 (2,0) (2,2)
0 (2,2) (4,2)
0 (4,2) (2,2)
0 (2,2) (2,4)
0 (2,4) (4,4)
0 null null
1 (12,1) (13,1)
2 (2,9) (1,8)
3 (11,14) (10,14)
0 (4,6) (4,8)
0 null null
1 (14,2) (12,0)
1 null null
2 (0,14) (2,12)
2 (2,12) (0,14)
2 null null
3 (15,12) (14,11)
0 (1,0) (2,0)
1 (13,4) (14,3)
2 (2,13) (1,14)
3 (10,15) (9,14)
0 (2,0) (2,2)
0 (2,2) (2,4)
0 null null
1 (14,3) (13,3)
2 (1,14) (2,13)
3 (14,13) (13,14)
0 (3,4) (5,4)
0 (5,4) (5,6)
0 null null
1 (14,1) (14,2)
2 (1,9) (1,10)
3 (14,15) (12,13)
3 (12,13) (14,15)
3 (14,15) (14,13)
3 null null
GAMEOVER USER CANCEL
UNDECIDED
# Game ended: Wed Apr 02 15:15:06 EDT 2014
